arm,runs,hesitation_total,hesitation_relaxed_only,pct_relaxed_only,all_tokens,all_relaxed_only_tokens,pct_all_tokens_relaxed_only,enrichment_x
r_fuzzy (α=0.3),194,24297,6269,25.8,877553,171337,19.5244,1.32
cactus (α=0.25),194,20611,5047,24.49,806720,166271,20.6107,1.19
spec_casc_opt (α=0.05),194,21191,2645,12.48,894812,108044,12.0745,1.03
mentored_dec (α=0.37),194,7882,864,10.96,525716,27062,5.1476,2.13
spec_casc_tok (α=0.3),194,6154,249,4.05,433351,11248,2.5956,1.56
strict,194,6459,0,0.0,457619,0,0.0,
